File,Frame,Temperature Dn,Temperature Up
T  50.spe,14,2443,2232
T  50.spe,15,2439,2196
T  50.spe,16,2400,2196
T  50.spe,17,2312,2249
T  51.spe,14,2603,2197
T  51.spe,15,2677,2262
T  51.spe,16,2661,2326
T  51.spe,17,2658,2283
T  52.spe,14,2754,2537
T  52.spe,15,2670,2448
T  52.spe,16,2679,2342
T  52.spe,17,2762,2394
T  53.spe,14,2740,2409
T  53.spe,15,2723,2358
T  53.spe,16,2608,2379
T  53.spe,17,2696,2367
T  54.spe,14,2838,2703
T  54.spe,15,2895,2583
T  54.spe,16,2957,2499
T  54.spe,17,2859,2563
T  55.spe,14,2858,2391
T  55.spe,15,2839,2455
T  55.spe,16,2903,2500
T  55.spe,17,2817,2487
T  56.spe,14,3058,2724
T  56.spe,15,3119,2717
T  56.spe,16,3166,2758
T  56.spe,17,3177,2724
T  57.spe,14,3043,2576
T  57.spe,15,3028,2515
T  57.spe,16,3061,2546
T  57.spe,17,3057,2586
T  58.spe,14,3037,2602
T  58.spe,15,2983,2593
T  58.spe,16,2922,2559
T  58.spe,17,2878,2467
T  59.spe,14,3280,2636
T  59.spe,15,3372,2626
T  59.spe,16,3365,2570
T  59.spe,17,3369,2594
T  60.spe,14,3274,2645
T  60.spe,15,3300,2554
T  60.spe,16,3290,2591
T  60.spe,17,3241,2523
T  61.spe,14,3455,2943
T  61.spe,15,3519,2854
T  61.spe,16,3598,2919
T  61.spe,17,3551,2884
T  62.spe,14,3655,2732
T  62.spe,15,3680,2708
T  62.spe,16,3684,2768
T  62.spe,17,3647,2655
T  63.spe,14,3833,3034
T  63.spe,15,3890,3074
T  63.spe,16,3892,3027
T  63.spe,17,3862,3101
T  64.spe,14,4111,2767
T  64.spe,15,4189,2813
T  64.spe,16,4279,2897
T  64.spe,17,4342,2885
T  65.spe,14,4496,3032
T  65.spe,15,4469,3009
T  65.spe,16,4490,2952
T  65.spe,17,4566,2904
T  66.spe,14,4480,3243
T  66.spe,15,4516,3293
T  66.spe,16,4472,3333
T  66.spe,17,4470,3341
T  67.spe,14,4885,3333
T  67.spe,15,4970,3402
T  67.spe,16,5038,3420
T  67.spe,17,4961,3466
T  68.spe,14,5732,3709
T  68.spe,15,5682,3759
T  68.spe,16,5610,3784
T  68.spe,17,5565,3857
